model,architecture,counting_mode,imagenet_pretrained,checkpoint,best_epoch,num_parameters,trainable_parameters,val_mae,val_rmse,val_accuracy,val_within_one_accuracy,test_mae,test_rmse,test_accuracy,test_within_one_accuracy,test_r2,test_mean_error
vgg16_logistic_imagenet,vgg16,logistic,True,task2_output/checkpoints/vgg16_logistic_imagenet.pth,11,134264641,134264641,0.7,1.140175425099138,0.55,0.8,1.25,2.0371548787463363,0.4,0.65,0.7162878140488805,-0.35
densenet121_logistic_scratch,densenet121,logistic,False,task2_output/checkpoints/densenet121_logistic_scratch.pth,25,6954881,6954881,0.7,1.0954451150103321,0.5,0.85,1.45,2.0371548787463363,0.1,0.75,0.7162878140488805,-0.65
alexnet_logistic_scratch,alexnet,logistic,False,task2_output/checkpoints/alexnet_logistic_scratch.pth,10,57007937,57007937,1.35,1.8027756377319946,0.3,0.6,1.45,2.247220505424423,0.25,0.65,0.6547598701076739,-0.55
alexnet_logistic_imagenet,alexnet,logistic,True,task2_output/checkpoints/alexnet_logistic_imagenet.pth,18,57007937,57007937,1.25,1.5652475842498528,0.2,0.7,1.45,2.29128784747792,0.25,0.7,0.6410869936762946,-0.15
alexnet_classification_imagenet,alexnet,classification,True,task2_output/checkpoints/alexnet_classification_imagenet.pth,15,57073489,57073489,1.5,1.816590212458495,0.2,0.5,1.45,2.3979157616563596,0.35,0.7,0.6069048025978465,0.25
efficientnet_b0_logistic_imagenet,efficientnet_b0,logistic,True,task2_output/checkpoints/efficientnet_b0_logistic_imagenet.pth,22,4008829,4008829,1.15,1.3601470508735443,0.2,0.65,1.5,2.3664319132398464,0.35,0.55,0.617159459921381,-0.1
densenet121_logistic_imagenet,densenet121,logistic,True,task2_output/checkpoints/densenet121_logistic_imagenet.pth,10,6954881,6954881,1.0,1.378404875209022,0.35,0.75,1.5,2.6457513110645907,0.3,0.75,0.5214493249017262,-0.5
mobilenet_v2_logistic_imagenet,mobilenet_v2,logistic,True,task2_output/checkpoints/mobilenet_v2_logistic_imagenet.pth,31,2225153,2225153,0.9,1.224744871391589,0.35,0.8,1.7,2.3664319132398464,0.2,0.6,0.617159459921381,0.2
convnext_tiny_logistic_imagenet,convnext_tiny,logistic,True,task2_output/checkpoints/convnext_tiny_logistic_imagenet.pth,19,27820897,27820897,0.75,1.118033988749895,0.5,0.75,1.7,2.4899799195977463,0.2,0.7,0.5761408306272433,0.4
vgg16_classification_imagenet,vgg16,classification,True,task2_output/checkpoints/vgg16_classification_imagenet.pth,15,134330193,134330193,1.35,1.6881943016134133,0.25,0.55,1.75,2.355843797877949,0.15,0.55,0.6205776790292258,-0.35
resnext50_32x4d_logistic_imagenet,resnext50_32x4d,logistic,True,task2_output/checkpoints/resnext50_32x4d_logistic_imagenet.pth,16,22981953,22981953,1.15,1.5329709716755893,0.35,0.6,1.75,2.5,0.2,0.65,0.5727226115193984,0.35
resnet18_logistic_imagenet,resnet18,logistic,True,task2_output/checkpoints/resnet18_logistic_imagenet.pth,28,11177025,11177025,0.8,1.140175425099138,0.4,0.85,1.9,2.5495097567963922,0.1,0.5,0.5556315159801744,0.0
vgg16_logistic_scratch,vgg16,logistic,False,task2_output/checkpoints/vgg16_logistic_scratch.pth,20,134264641,134264641,1.35,1.746424919657298,0.25,0.65,1.9,2.7386127875258306,0.0,0.6,0.48726713382327813,-0.3
resnet18_logistic_scratch,resnet18,logistic,False,task2_output/checkpoints/resnet18_logistic_scratch.pth,33,11177025,11177025,1.2,1.70293863659264,0.25,0.8,1.95,2.5787593916455256,0.1,0.55,0.5453768586566399,0.05
mobilenet_v3_large_logistic_imagenet,mobilenet_v3_large,logistic,True,task2_output/checkpoints/mobilenet_v3_large_logistic_imagenet.pth,17,4203313,4203313,0.9,1.224744871391589,0.35,0.8,1.95,2.7477263328068173,0.1,0.6,0.48384891471543323,0.55
resnet34_logistic_imagenet,resnet34,logistic,True,task2_output/checkpoints/resnet34_logistic_imagenet.pth,5,21285185,21285185,1.15,1.5652475842498528,0.35,0.6,1.95,2.8372521918222215,0.2,0.5,0.4496667236369851,0.05
convnext_tiny_classification_imagenet,convnext_tiny,classification,True,task2_output/checkpoints/convnext_tiny_classification_imagenet.pth,20,27833201,27833201,1.5,1.8708286933869707,0.25,0.45,2.05,2.6551836094703507,0.15,0.4,0.5180311057938813,0.35
squeezenet1_1_logistic_scratch,squeezenet1_1,logistic,False,task2_output/checkpoints/squeezenet1_1_logistic_scratch.pth,23,723009,723009,2.15,2.6551836094703507,0.15,0.4,2.1,2.7748873851023217,0.15,0.5,0.47359425739189887,-0.2
squeezenet1_1_classification_imagenet,squeezenet1_1,classification,True,task2_output/checkpoints/squeezenet1_1_classification_imagenet.pth,41,731217,731217,1.25,1.6278820596099706,0.25,0.65,2.1,2.8460498941515415,0.15,0.5,0.44624850452914033,-0.6
squeezenet1_1_logistic_imagenet,squeezenet1_1,logistic,True,task2_output/checkpoints/squeezenet1_1_logistic_imagenet.pth,19,723009,723009,1.8,2.258317958127243,0.25,0.35,2.15,2.9916550603303182,0.2,0.5,0.3881387796957785,-0.25
shufflenet_v2_x1_0_logistic_imagenet,shufflenet_v2_x1_0,logistic,True,task2_output/checkpoints/shufflenet_v2_x1_0_logistic_imagenet.pth,51,1254629,1254629,2.05,2.5199206336708304,0.15,0.45,2.2,3.03315017762062,0.2,0.5,0.3710476841565544,0.1
mobilenet_v3_large_classification_imagenet,mobilenet_v3_large,classification,True,task2_output/checkpoints/mobilenet_v3_large_classification_imagenet.pth,34,4223809,4223809,1.7,2.258317958127243,0.3,0.5,2.35,3.0740852297878796,0.1,0.45,0.35395658861733037,-0.55
resnet18_classification_imagenet,resnet18,classification,True,task2_output/checkpoints/resnet18_classification_imagenet.pth,21,11185233,11185233,1.7,2.2135943621178655,0.25,0.5,2.45,3.0740852297878796,0.1,0.35,0.35395658861733037,-0.55
resnet34_logistic_scratch,resnet34,logistic,False,task2_output/checkpoints/resnet34_logistic_scratch.pth,20,21285185,21285185,1.75,2.29128784747792,0.2,0.6,2.45,3.138470965295043,0.15,0.4,0.32661083575457195,0.35
shufflenet_v2_x1_0_logistic_scratch,shufflenet_v2_x1_0,logistic,False,task2_output/checkpoints/shufflenet_v2_x1_0_logistic_scratch.pth,19,1254629,1254629,1.45,2.3345235059857505,0.45,0.6,2.5,3.255764119219941,0.25,0.35,0.2753375491368997,0.0
resnet34_classification_imagenet,resnet34,classification,True,task2_output/checkpoints/resnet34_classification_imagenet.pth,14,21293393,21293393,1.75,2.1095023109728985,0.15,0.5,2.55,3.1543620591175006,0.05,0.35,0.31977439753888226,-0.75
resnext50_32x4d_logistic_scratch,resnext50_32x4d,logistic,False,task2_output/checkpoints/resnext50_32x4d_logistic_scratch.pth,17,22981953,22981953,2.2,3.082207001484488,0.25,0.45,2.65,3.3689761055846033,0.1,0.35,0.2240642625192275,0.05
efficientnet_b0_logistic_scratch,efficientnet_b0,logistic,False,task2_output/checkpoints/efficientnet_b0_logistic_scratch.pth,18,4008829,4008829,1.05,1.5,0.35,0.75,2.75,3.4856850115866753,0.1,0.35,0.16937275679371055,-0.25
mobilenet_v3_large_logistic_scratch,mobilenet_v3_large,logistic,False,task2_output/checkpoints/mobilenet_v3_large_logistic_scratch.pth,28,4203313,4203313,1.85,2.5199206336708304,0.15,0.6,2.85,3.7483329627982624,0.2,0.4,0.03948043069560758,0.45
mobilenet_v2_logistic_scratch,mobilenet_v2,logistic,False,task2_output/checkpoints/mobilenet_v2_logistic_scratch.pth,51,2225153,2225153,1.45,2.355843797877949,0.45,0.65,3.05,3.7483329627982624,0.05,0.35,0.03948043069560758,0.35
convnext_tiny_logistic_scratch,convnext_tiny,logistic,False,task2_output/checkpoints/convnext_tiny_logistic_scratch.pth,14,27820897,27820897,2.55,3.248076353782343,0.1,0.5,3.1,3.7682887362833544,0.05,0.25,0.029225773372073216,-1.4
densenet121_classification_imagenet,densenet121,classification,True,task2_output/checkpoints/densenet121_classification_imagenet.pth,55,6971281,6971281,2.5,2.8460498941515415,0.05,0.2,3.15,3.840572873934304,0.15,0.3,-0.008374636814219683,-2.15
resnet34_classification_scratch,resnet34,classification,False,task2_output/checkpoints/resnet34_classification_scratch.pth,22,21293393,21293393,2.3,2.8106938645110393,0.15,0.35,3.5,4.722287581247038,0.05,0.3,-0.5245257220987865,-1.3
resnext50_32x4d_classification_imagenet,resnext50_32x4d,classification,True,task2_output/checkpoints/resnext50_32x4d_classification_imagenet.pth,29,23014737,23014737,2.75,3.170173496829472,0.05,0.2,3.55,4.318564576337836,0.15,0.3,-0.2749957272261152,-2.55
resnet18_classification_scratch,resnet18,classification,False,task2_output/checkpoints/resnet18_classification_scratch.pth,5,11185233,11185233,2.7,3.1937438845342623,0.05,0.3,3.8,4.764451699828638,0.2,0.3,-0.551871474961545,-2.6
mobilenet_v2_classification_scratch,mobilenet_v2,classification,False,task2_output/checkpoints/mobilenet_v2_classification_scratch.pth,14,2245649,2245649,2.9,3.3166247903554,0.0,0.25,3.85,5.014977567247933,0.15,0.35,-0.7193642112459409,-2.95
vgg16_classification_scratch,vgg16,classification,False,task2_output/checkpoints/vgg16_classification_scratch.pth,6,134330193,134330193,3.35,3.774917217635375,0.0,0.15,3.95,4.769696007084728,0.15,0.25,-0.5552896940693899,-2.85
