split,original_image_path,top_view_path,image_name,label_path,true_count,top_view_success,used_fallback,message
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/0_png.rf.e35063c144cfd241454863d624cf01d3.txt,8,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.txt,13,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/102_png.rf.e106f609270b206b301a09b5c5473e95.txt,10,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.txt,13,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/104_png.rf.759632d10d5cf129aab09f0968304a4e.txt,7,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.txt,16,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.txt,16,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.txt,10,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.txt,12,True,False,already exists
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10t_png.rf.97c979f963b5a914b50a065e59ef3873.txt,12,True,False,already exists
